timestamp,datetime,ax,ay,az,gx,gy,gz,spo2,finger_detected
1759741597.293,2025-10-06 10:06:37.292,0.0747,-0.0071,0.8728,2.5954,-0.0382,-2.5802,,False
1759741597.417,2025-10-06 10:06:37.417,0.0693,-0.001,0.8792,2.6794,-0.1145,-2.5649,,False
1759741597.558,2025-10-06 10:06:37.558,0.0774,-0.0061,0.8743,2.458,-0.3588,-2.8473,,False
1759741597.692,2025-10-06 10:06:37.691,0.0703,-0.0056,0.8708,2.4122,-0.1298,-2.5878,,False
1759741597.832,2025-10-06 10:06:37.832,0.0713,-0.0037,0.8806,2.374,0.084,-2.5038,,False
1759741597.963,2025-10-06 10:06:37.963,0.0696,-0.0034,0.8823,2.5191,-0.1832,-2.6183,,False
1759741598.095,2025-10-06 10:06:38.094,0.0774,-0.0039,0.8735,2.5267,0.0229,-2.5344,,False
1759741598.235,2025-10-06 10:06:38.235,0.074,-0.0046,0.877,2.3511,0.145,-2.7634,,False
1759741598.369,2025-10-06 10:06:38.368,0.0742,-0.0032,0.8782,2.542,-0.2672,-2.7176,,False
1759741598.502,2025-10-06 10:06:38.501,0.0713,-0.0037,0.8816,2.5115,-0.0611,-2.5802,,False
1759741598.634,2025-10-06 10:06:38.633,0.0754,-0.0039,0.877,2.6641,-0.0611,-2.4275,,False
1759741598.765,2025-10-06 10:06:38.764,0.0725,-0.0068,0.877,2.4198,-0.0687,-2.4962,,False
1759741598.906,2025-10-06 10:06:38.905,0.0706,-0.0083,0.8833,2.7405,-0.1756,-2.687,,False
1759741599.038,2025-10-06 10:06:39.037,0.0703,-0.0059,0.8796,2.5267,-0.1832,-2.7557,,False
1759741599.163,2025-10-06 10:06:39.162,0.0752,-0.0042,0.8767,2.3435,0.0153,-2.5573,,False
1759741599.287,2025-10-06 10:06:39.286,0.0703,-0.0039,0.8838,2.4275,-0.0305,-2.5954,,False
1759741599.427,2025-10-06 10:06:39.427,0.071,-0.0042,0.8857,2.4046,-0.1145,-2.4885,,False
1759741599.56,2025-10-06 10:06:39.560,0.0728,-0.0063,0.8704,2.3588,0.0992,-2.7634,,False
1759741599.693,2025-10-06 10:06:39.693,0.072,-0.0037,0.8865,2.2824,-0.0305,-2.8321,,False
1759741599.834,2025-10-06 10:06:39.834,0.0737,-0.0022,0.8813,2.4046,-0.2901,-2.8244,,False
1759741599.967,2025-10-06 10:06:39.966,0.0723,-0.0063,0.8774,2.6183,0.1069,-2.3969,,False
